"@timestamp","host.name","suricata.eve.flow_id","source.ip","source.port","destination.ip","destination.port","source.geo.country_iso_code","destination.geo.country_iso_code"
"Oct 28, 2022 @ 14:25:53.527",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:44.507",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:39.971",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:38.824",soniot3,435538846887568,"192.168.28.15",36534,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:37.461",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:36.139",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:31.806",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:31.031",soniot3,566784448966103,"192.168.28.15",36338,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:30.246",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:29.367",soniot3,566784448966103,"192.168.28.15",36338,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:28.132",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:24.458",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:23.077",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:21.728",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:20.450",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
